Program,Phase,Day,Exercise,Sets,Reps,RPE,Rest,Notes
Body Part Split,Weeks 5-8,Back & Biceps,Lat Pulldown,3,6,8,2-3MIN,"PULL YOUR ELBOWS STRAIGHT OUT TO YOUR SIDES, USE A 1.5X SHOULDER WIDTH GRIP"
Body Part Split,Weeks 5-8,Back & Biceps,Dumbbell Row,3,12,8,2-3MIN,"BRACE ONTO A BENCH FOR SUPPORT, PULL YOUR ELBOW AGAINST YOUR SIDES"
Body Part Split,Weeks 5-8,Back & Biceps,Barbell Bent Over Row,3,12,8,2-3MIN,"LEAN YOUR TORSO OVER AT A 45 ANGLE, KEEP YOUR LOWER BACK NEUTRAL, DOUBLE OVERHAND GRIP"
Body Part Split,Weeks 5-8,Back & Biceps,Reverse Pec Deck,3,15,8,1-2MIN,"PROTRACT YOUR SCAPULAE, SWEEP THE WEIGHT OUT AND BACK"
Body Part Split,Weeks 5-8,Back & Biceps,EZ Bar Curl,3,15,8,1-2MIN,DRIVE YOUR PINKY INTO THE HANDLE HARDER THAN YOUR POINTER FINGER
Body Part Split,Weeks 5-8,Legs & Abs #2,Back Squat,3,8,8,3-4MIN,"SIT BACK AND DOWN, 15 TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Body Part Split,Weeks 5-8,Legs & Abs #2,Barbell Hip Thrust,3,8,8,2-3MIN,"TUCK YOUR CHIN AND RIB CAGE DOWN, ONLY MOVE YOUR HIPS USE A PAD"
Body Part Split,Weeks 5-8,Legs & Abs #2,Romanian Deadlift,3,12,8,2-3MIN,"MAINTAIN A NEUTRAL LOWER BACK, SET YOUR HIPS BACK, DON'T ALLOW YOUR SPINE TO ROUND"
Body Part Split,Weeks 5-8,Legs & Abs #2,Seated Leg Curl,3,8,9,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Body Part Split,Weeks 5-8,Legs & Abs #2,Standing Calf Raise,3,6,9,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Body Part Split,Weeks 5-8,Legs & Abs #2,Hanging Leg Raise,3,6,8,1-2MIN,"FOCUS ON FLEXING YOUR LOWER BACK, PERFORM OFF OF CAPTAIN'S CHAIR"
Body Part Split,Weeks 5-8,Legs & Abs #2,Machine Seated Hip Abduction,3,20,9,1-2MIN,"KEEP YOUR BUTT IN THE SEAT, FOCUS ON SQUEEZING YOUR GLUTES TO MAKE THE WEIGHT MOVE"
Body Part Split,Weeks 5-8,Shoulders & Arms,Dumbbell Seated Shoulder Press,3,10,8,3-4MIN,"BRING THE DUMBBELL ALL THE WAY DOWN TO YOUR SHOULDERS, KEEP YOUR TORSO UPRIGHT"
Body Part Split,Weeks 5-8,Shoulders & Arms,Cable Lateral Raise,3,10,8,1-2MIN,"LEAN AWAY FROM THE MACHINE, ARMS STRAIGHT OUT TO YOUR SIDE"
Body Part Split,Weeks 5-8,Shoulders & Arms,Dumbbell Bent Over Lateral Raise,3,12,8,1-2MIN,"LEAN OVER SUCH THAT YOUR TORSO IS PARALLEL WITH THE GROUND, RAISE YOUR ARMS DIRECTLY OUT TO YOUR SIDES"
Body Part Split,Weeks 5-8,Shoulders & Arms,Dumbbell Floor Press,2,15,8,1-2MIN,TUCK YOUR ELBOWS AGAINST YOUR SIDES
Body Part Split,Weeks 5-8,Shoulders & Arms,Hammer Curl,2,8,8,1-2MIN,"NEUTRAL GRIP, PREVENT YOUR UPPER ARM FROM MOVING"
